Община,Училище,БЕЛ 24,ДЗИ II 24,БЕЛ-УЧ. 24,ДЗИ II-УЧ. 24,БЕЛ 23,ДЗИ II 23,БЕЛ-УЧ. 23,ДЗИ II-УЧ. 23,БЕЛ 22,ДЗИ II 22,БЕЛ-УЧ. 22,ДЗИ II-УЧ. 22,БЕЛ 21,ДЗИ II 21,БЕЛ-УЧ. 21,ДЗИ II-УЧ. 21,БЕЛ 20,ДЗИ II 20,БЕЛ-УЧ. 20,ДЗИ II-УЧ. 20
СОФИЯ,47 СУ Христо Г. Данов,4.17,3.938,29.0,29.0,3.69,3.648,18.0,20.0,3.04,2.634,16.0,14.0,3.67,3.95,32.0,35.0,3.77,3.87,29.0,30.0
СОФИЯ,51 СУ Елисавета Багряна,5.08,5.019,81.0,83.0,4.3,4.433,91.0,91.0,4.41,3.799,87.0,88.0,4.58,4.97,91.0,90.0,4.8,5.02,85.0,85.0
СОФИЯ,54 СУ Св. Иван Рилски,4.16,3.913,53.0,58.0,3.71,3.547,35.0,35.0,4.14,4.373,67.0,68.0,4.28,4.53,79.0,79.0,4.37,4.55,21.0,21.0
СОФИЯ,55 СУ Петко Каравелов,4.2,4.137,44.0,44.0,3.5,3.606,23.0,26.0,3.58,3.275,19.0,19.0,,,,,,,,
СОФИЯ,56 СУ Проф. Константин Иречек,4.23,4.161,45.0,49.0,3.82,3.803,33.0,36.0,4.33,4.156,41.0,41.0,4.61,4.76,26.0,25.0,4.29,4.3,33.0,34.0
СОФИЯ,66 СУ Филип Станиславов,3.03,3.011,9.0,8.0,3.18,4.092,6.0,7.0,2.59,3.335,9.0,8.0,3.31,3.31,16.0,17.0,3.31,3.42,12.0,12.0
СОФИЯ,68 СУ Акад. Никола Обрешков,3.92,3.72,32.0,28.0,3.1,3.16,21.0,17.0,3.46,4.026,21.0,21.0,3.43,3.46,18.0,18.0,3.4,3.69,18.0,18.0
СОФИЯ,69 СУ Димитър Маринов,3.95,3.553,13.0,13.0,3.09,3.17,5.0,5.0,,,,,,,,,3.97,4.35,11.0,10.0
СОФИЯ,71 СУ Пейо Яворов,3.28,3.985,25.0,22.0,3.38,3.546,16.0,16.0,2.79,3.47,12.0,11.0,3.5,3.86,21.0,19.0,3.95,4.12,11.0,11.0
СОФИЯ,73 СУ Владислав Граматик,5.56,5.11,108.0,109.0,5.23,5.079,145.0,143.0,5.43,5.165,121.0,121.0,5.58,5.24,153.0,153.0,5.63,5.54,123.0,122.0
СОФИЯ,74 СУ Гоце Делчев,3.82,3.9,48.0,45.0,3.15,3.237,29.0,29.0,3.1,2.882,23.0,23.0,3.76,3.88,30.0,29.0,3.82,4.18,42.0,42.0
СОФИЯ,78 СУ Христо Смирненски,4.24,4.62,22.0,21.0,3.15,3.22,15.0,15.0,3.51,3.217,31.0,30.0,3.83,4.28,19.0,18.0,3.64,3.73,31.0,31.0
СОФИЯ,79 СУ Индира Ганди,4.06,3.65,29.0,30.0,2.85,2.916,29.0,33.0,3.41,3.117,22.0,21.0,4.11,4.38,25.0,25.0,3.65,4.04,28.0,27.0
СОФИЯ,81 СУ Виктор Юго,4.57,4.458,57.0,57.0,3.79,4.15,36.0,36.0,4.22,4.057,22.0,22.0,4.33,4.53,43.0,44.0,4.08,4.16,34.0,34.0
