;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;2024;
;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;Общо;Общо;Общо;Урбанизирана територия;Урбанизирана територия;Урбанизирана територия;Територия на транспорта;Територия на транспорта;Територия на транспорта;Земеделска територия;Земеделска територия;Земеделска територия;Горска територия;Горска територия;Горска територия;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Територия, заета от води и водни обекти;Защитена територия;Защитена територия;Защитена територия;Нарушена територия;Нарушена територия;Нарушена територия;Непоказано;Непоказано;Непоказано;
;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;ха;км2;%;
Ямбол;9065.97;90.66;100.00;1944.25;19.44;21.45;695.31;6.95;7.67;4977.22;49.77;54.90;746.72;7.47;8.24;591.29;5.91;6.52;31.76;0.32;0.35;79.43;0.79;0.88;-;-;-;9065.97;90.66;100.00;1941.09;19.41;21.41;700.86;7.01;7.73;4974.82;49.75;54.87;746.72;7.47;8.24;591.29;5.91;6.52;31.76;0.32;0.35;79.43;0.79;0.88;-;-;0.00;9065.97;90.66;100.00;1945.28;19.45;21.46;702.46;7.02;7.75;4969.04;49.69;54.81;746.72;7.47;8.24;591.29;5.91;6.52;31.76;0.32;0.35;79.43;0.79;0.88;-;-;-;9065.97;90.66;100.00;1946.07;19.46;21.47;703.62;7.04;7.76;4967.18;49.67;54.79;746.08;7.46;8.23;591.21;5.91;6.52;32.39;0.32;0.36;79.43;0.79;0.88;-;-;0.00;
Югозападна и Южна централна България;4269504.89;42695.05;100.00;170306.31;1703.06;3.99;101530.87;1015.31;2.38;1792467.78;17924.68;41.98;1942493.28;19424.93;45.50;74566.98;745.67;1.75;87863.22;878.63;2.06;14285.57;142.86;0.33;85990.89;859.91;2.01;4269488.65;42694.89;100.00;173073.71;1730.74;4.05;103363.62;1033.64;2.42;1795599.94;17956.00;42.06;1952201.35;19522.01;45.72;74855.75;748.56;1.75;114238.41;1142.38;2.68;14497.26;144.97;0.34;41658.62;416.59;0.98;4269488.65;42694.89;100.00;180324.41;1803.24;4.22;104020.92;1040.21;2.44;1777164.41;17771.64;41.62;1933651.26;19336.51;45.29;75537.54;755.38;1.77;155392.47;1553.92;3.64;14212.53;142.13;0.33;29185.12;291.85;0.68;4269489.13;42694.89;100.00;182588.49;1825.88;4.28;104853.81;1048.54;2.46;1776575.47;17765.75;41.61;1934655.36;19346.55;45.31;75897.75;758.98;1.78;156617.71;1566.18;3.67;14380.16;143.80;0.34;23920.36;239.20;0.56;
Югозападен;2032974.33;20329.74;100.00;85637.57;856.38;4.21;44260.26;442.60;2.18;806869.24;8068.69;39.69;927083.52;9270.84;45.60;23136.51;231.37;1.14;75568.86;755.69;3.72;9884.23;98.84;0.49;60534.14;605.34;2.98;2032958.31;20329.58;100.00;87688.28;876.88;4.31;45752.55;457.53;2.25;813154.68;8131.55;40.00;934933.33;9349.33;45.99;23385.74;233.86;1.15;97386.53;973.87;4.79;10085.61;100.86;0.50;20571.58;205.72;1.01;2032958.31;20329.58;100.00;92733.87;927.34;4.56;46074.42;460.74;2.27;801501.13;8015.01;39.43;925883.80;9258.84;45.54;23605.81;236.06;1.16;112722.69;1127.23;5.54;9764.40;97.64;0.48;20672.18;206.72;1.02;2032958.37;20329.58;100.00;93684.53;936.85;4.61;46257.06;462.57;2.28;800773.94;8007.74;39.39;925351.69;9253.52;45.52;23699.83;237.00;1.17;113944.25;1139.44;5.60;9838.54;98.39;0.48;19408.53;194.09;0.95;
Благоевград;645919.18;6459.19;100.00;13894.74;138.95;2.15;10347.92;103.48;1.60;219491.47;2194.91;33.98;332503.84;3325.04;51.48;6419.78;64.20;0.99;59197.77;591.98;9.16;687.35;6.87;0.11;3376.31;33.76;0.52;645908.27;6459.08;100.00;14001.82;140.02;2.17;10574.91;105.75;1.64;219371.73;2193.72;33.96;332688.68;3326.89;51.51;6389.56;63.90;0.99;59197.22;591.97;9.16;681.45;6.81;0.11;3002.92;30.03;0.46;645908.27;6459.08;100.00;14222.52;142.23;2.20;10618.09;106.18;1.64;219119.48;2191.19;33.92;332655.59;3326.56;51.50;6392.56;63.93;0.99;59191.89;591.92;9.16;662.29;6.62;0.10;3045.86;30.46;0.47;645908.26;6459.08;100.00;14322.52;143.23;2.22;10691.94;106.92;1.66;219221.46;2192.21;33.94;331934.75;3319.35;51.39;6406.61;64.07;0.99;59651.31;596.51;9.24;682.60;6.83;0.11;2997.08;29.97;0.46;
Банско;47641.29;476.41;100.00;724.72;7.25;1.52;664.50;6.65;1.39;9428.13;94.28;19.79;29200.12;292.00;61.29;216.27;2.16;0.45;6023.93;60.24;12.64;20.35;0.20;0.04;1363.28;13.63;2.86;47641.29;476.41;100.00;743.94;7.44;1.56;665.22;6.65;1.40;9408.97;94.09;19.75;29200.80;292.01;61.29;215.68;2.16;0.45;6023.93;60.24;12.64;19.47;0.19;0.04;1363.28;13.63;2.86;47641.29;476.41;100.00;739.58;7.40;1.55;668.21;6.68;1.40;9412.85;94.13;19.76;29189.51;291.90;61.27;215.63;2.16;0.45;6023.93;60.24;12.64;2.56;0.03;0.01;1389.01;13.89;2.92;47641.31;476.41;100.00;740.17;7.40;1.55;669.16;6.69;1.40;9409.61;94.10;19.75;29110.95;291.11;61.10;215.21;2.15;0.45;6113.45;61.13;12.83;19.15;0.19;0.04;1363.61;13.64;2.86;
Белица;29385.96;293.86;100.00;656.47;6.56;2.23;272.21;2.72;0.93;5362.18;53.62;18.25;18367.74;183.68;62.51;86.17;0.86;0.29;3722.97;37.23;12.67;0.47;0.00;0.00;917.75;9.18;3.12;29385.96;293.86;100.00;458.53;4.59;1.56;272.21;2.72;0.93;5361.46;53.61;18.24;18566.40;185.66;63.18;85.08;0.85;0.29;3724.06;37.24;12.67;0.47;0.00;0.00;917.74;9.18;3.12;29385.96;293.86;100.00;459.41;4.59;1.56;273.84;2.74;0.93;5360.35;53.60;18.24;18565.07;185.65;63.18;85.01;0.85;0.29;3724.06;37.24;12.67;0.47;0.00;0.00;917.74;9.18;3.12;29385.96;293.86;100.00;461.21;4.61;1.57;275.37;2.75;0.94;5357.06;53.57;18.23;18564.50;185.64;63.17;85.53;0.86;0.29;3724.06;37.24;12.67;0.47;0.00;0.00;917.74;9.18;3.12;
Благоевград;62123.16;621.23;100.00;1956.39;19.56;3.15;1279.44;12.79;2.06;26661.22;266.61;42.92;23455.32;234.55;37.76;711.37;7.11;1.15;7650.19;76.50;12.31;47.70;0.48;0.08;361.53;3.62;0.58;62123.16;621.23;100.00;2260.89;22.61;3.64;1397.33;13.97;2.25;26580.74;265.81;42.79;23454.14;234.54;37.75;730.24;7.30;1.18;7650.62;76.51;12.32;47.70;0.48;0.08;1.48;0.01;0.00;62123.16;621.23;100.00;2301.35;23.01;3.70;1402.56;14.03;2.26;26520.30;265.20;42.69;23452.06;234.52;37.75;729.79;7.30;1.17;7650.62;76.51;12.32;46.62;0.47;0.08;19.86;0.20;0.03;62123.16;621.23;100.00;2333.85;23.34;3.76;1405.85;14.06;2.26;25860.17;258.60;41.63;24093.02;240.93;38.78;729.31;7.29;1.17;7650.62;76.51;12.32;47.80;0.48;0.08;2.53;0.03;0.00;
Гоце Делчев;33141.23;331.41;100.00;862.44;8.62;2.60;487.62;4.88;1.47;11076.01;110.76;33.42;17544.95;175.45;52.94;360.34;3.60;1.09;2733.62;27.34;8.25;63.62;0.64;0.19;12.62;0.13;0.04;33140.70;331.41;100.00;866.71;8.67;2.62;488.25;4.88;1.47;11071.65;110.72;33.41;17544.51;175.45;52.94;359.72;3.60;1.09;2733.62;27.34;8.25;63.62;0.64;0.19;12.62;0.13;0.04;33140.70;331.41;100.00;872.36;8.72;2.63;490.63;4.91;1.48;11064.02;110.64;33.38;17544.10;175.44;52.94;359.72;3.60;1.09;2733.62;27.34;8.25;63.62;0.64;0.19;12.62;0.13;0.04;33140.69;331.41;100.00;879.73;8.80;2.65;491.83;4.92;1.48;11021.12;110.21;33.26;17578.09;175.78;53.04;360.07;3.60;1.09;2733.62;27.34;8.25;63.62;0.64;0.19;12.60;0.13;0.04;
Гърмен;38879.07;388.79;100.00;757.09;7.57;1.95;430.66;4.31;1.11;9182.84;91.83;23.62;28063.17;280.63;72.18;299.98;3.00;0.77;117.50;1.18;0.30;22.40;0.22;0.06;5.43;0.05;0.01;38878.99;388.79;100.00;761.04;7.61;1.96;431.22;4.31;1.11;9181.97;91.82;23.62;28063.17;280.63;72.18;299.72;3.00;0.77;117.50;1.18;0.30;18.95;0.19;0.05;5.43;0.05;0.01;38878.99;388.79;100.00;823.86;8.24;2.12;435.36;4.35;1.12;9123.11;91.23;23.47;28060.24;280.60;72.17;299.58;3.00;0.77;112.31;1.12;0.29;19.89;0.20;0.05;4.63;0.05;0.01;38878.98;388.79;100.00;776.63;7.77;2.00;501.84;5.02;1.29;9107.26;91.07;23.42;28053.35;280.53;72.16;301.61;3.02;0.78;112.34;1.12;0.29;21.22;0.21;0.05;4.74;0.05;0.01;
Кресна;34508.40;345.08;100.00;425.28;4.25;1.23;355.06;3.55;1.03;8600.76;86.01;24.92;23711.63;237.12;68.71;228.69;2.29;0.66;1098.40;10.98;3.18;8.16;0.08;0.02;80.41;0.80;0.23;34508.40;345.08;100.00;429.59;4.30;1.24;355.38;3.55;1.03;8595.83;85.96;24.91;23711.86;237.12;68.71;228.76;2.29;0.66;1098.40;10.98;3.18;8.16;0.08;0.02;80.41;0.80;0.23;34508.40;345.08;100.00;449.67;4.50;1.30;362.36;3.62;1.05;8572.66;85.73;24.84;23708.11;237.08;68.70;228.61;2.29;0.66;1098.42;10.98;3.18;8.16;0.08;0.02;80.41;0.80;0.23;34508.40;345.08;100.00;459.23;4.59;1.33;362.96;3.63;1.05;8571.54;85.72;24.84;23682.94;236.83;68.63;228.61;2.29;0.66;1114.56;11.15;3.23;8.16;0.08;0.02;80.41;0.80;0.23;
Петрич;65168.57;651.69;100.00;2199.09;21.99;3.37;1749.91;17.50;2.69;29585.59;295.86;45.40;20586.42;205.86;31.59;1359.31;13.59;2.09;9533.65;95.34;14.63;50.12;0.50;0.08;104.47;1.04;0.16;65161.45;651.61;100.00;2136.25;21.36;3.28;1839.34;18.39;2.82;29561.68;295.62;45.37;20588.61;205.89;31.60;1355.01;13.55;2.08;9532.16;95.32;14.63;50.04;0.50;0.08;98.35;0.98;0.15;65161.45;651.61;100.00;2193.05;21.93;3.37;1839.97;18.40;2.82;29500.84;295.01;45.27;20587.20;205.87;31.59;1360.04;13.60;2.09;9531.64;95.32;14.63;50.03;0.50;0.08;98.67;0.99;0.15;65161.45;651.61;100.00;2177.46;21.77;3.34;1837.06;18.37;2.82;29507.18;295.07;45.28;20599.15;205.99;31.61;1360.25;13.60;2.09;9531.64;95.32;14.63;50.03;0.50;0.08;98.67;0.99;0.15;
Разлог;44080.08;440.80;100.00;1302.76;13.03;2.96;688.89;6.89;1.56;13091.01;130.91;29.70;17871.10;178.71;40.54;361.39;3.61;0.82;10650.57;106.51;24.16;113.18;1.13;0.26;1.16;0.01;0.00;44078.67;440.79;100.00;1308.76;13.09;2.97;689.88;6.90;1.57;13085.79;130.86;29.69;17864.86;178.65;40.53;361.08;3.61;0.82;10654.30;106.54;24.17;113.18;1.13;0.26;0.81;0.01;0.00;44078.67;440.79;100.00;1317.01;13.17;2.99;692.25;6.92;1.57;13075.65;130.76;29.66;17867.84;178.68;40.54;360.27;3.60;0.82;10654.29;106.54;24.17;109.62;1.10;0.25;1.74;0.02;0.00;44078.67;440.79;100.00;1325.44;13.25;3.01;693.68;6.94;1.57;13060.93;130.61;29.63;17873.30;178.73;40.55;360.60;3.61;0.82;10654.29;106.54;24.17;109.62;1.10;0.25;0.81;0.01;0.00;
Сандански;99733.18;997.33;100.00;2074.67;20.75;2.08;1841.60;18.42;1.85;36595.97;365.96;36.69;52960.11;529.60;53.10;1307.70;13.08;1.31;4806.29;48.06;4.82;24.59;0.25;0.02;122.25;1.22;0.12;99732.68;997.33;100.00;2093.68;20.94;2.10;1849.55;18.50;1.85;36619.56;366.20;36.72;52954.19;529.54;53.10;1263.46;12.63;1.27;4806.32;48.06;4.82;24.59;0.25;0.02;121.32;1.21;0.12;99732.68;997.33;100.00;2110.62;21.11;2.12;1850.97;18.51;1.86;36600.68;366.01;36.70;52954.09;529.54;53.10;1263.58;12.64;1.27;4806.32;48.06;4.82;24.59;0.25;0.02;121.84;1.22;0.12;99732.68;997.33;100.00;2123.64;21.24;2.13;1851.47;18.51;1.86;37747.55;377.48;37.85;51795.69;517.96;51.93;1261.46;12.61;1.26;4805.32;48.05;4.82;26.04;0.26;0.03;121.51;1.22;0.12;
Сатовча;33278.65;332.79;100.00;671.14;6.71;2.02;523.78;5.24;1.57;13520.74;135.21;40.63;18237.72;182.38;54.80;114.40;1.14;0.34;37.64;0.38;0.11;171.94;1.72;0.52;1.29;0.01;0.00;33277.57;332.78;100.00;672.07;6.72;2.02;523.78;5.24;1.57;13517.89;135.18;40.62;18238.55;182.39;54.81;114.40;1.14;0.34;37.64;0.38;0.11;171.94;1.72;0.52;1.29;0.01;0.00;33277.57;332.78;100.00;673.94;6.74;2.03;523.40;5.23;1.57;13517.41;135.17;40.62;18236.08;182.36;54.80;114.40;1.14;0.34;37.64;0.38;0.11;173.41;1.73;0.52;1.29;0.01;0.00;33277.57;332.78;100.00;676.54;6.77;2.03;523.03;5.23;1.57;13529.80;135.30;40.66;17866.55;178.67;53.69;114.78;1.15;0.34;392.40;3.92;1.18;173.19;1.73;0.52;1.29;0.01;0.00;
Симитли;55390.90;553.91;100.00;679.39;6.79;1.23;664.27;6.64;1.20;18526.88;185.27;33.45;32290.37;322.90;58.30;410.08;4.10;0.74;2431.35;24.31;4.39;134.94;1.35;0.24;253.62;2.54;0.46;55390.90;553.91;100.00;678.52;6.79;1.22;672.81;6.73;1.21;18526.83;185.27;33.45;32288.97;322.89;58.29;411.79;4.12;0.74;2426.75;24.27;4.38;133.44;1.33;0.24;251.78;2.52;0.45;55390.90;553.91;100.00;683.93;6.84;1.23;680.47;6.80;1.23;18520.41;185.20;33.44;32282.12;322.82;58.28;411.52;4.12;0.74;2426.75;24.27;4.38;133.44;1.33;0.24;252.25;2.52;0.46;55390.90;553.91;100.00;705.81;7.06;1.27;681.25;6.81;1.23;18513.37;185.13;33.42;32270.45;322.70;58.26;411.60;4.12;0.74;2426.75;24.27;4.38;133.44;1.33;0.24;248.23;2.48;0.45;
Струмяни;35820.60;358.21;100.00;418.99;4.19;1.17;612.68;6.13;1.71;13356.68;133.57;37.29;20524.66;205.25;57.30;387.75;3.88;1.08;398.05;3.98;1.11;9.15;0.09;0.03;112.64;1.13;0.31;35820.40;358.20;100.00;419.09;4.19;1.17;612.63;6.13;1.71;13356.74;133.57;37.29;20524.46;205.24;57.30;387.75;3.88;1.08;398.05;3.98;1.11;9.15;0.09;0.03;112.55;1.13;0.31;35820.40;358.20;100.00;420.06;4.20;1.17;612.63;6.13;1.71;13355.84;133.56;37.29;20524.46;205.24;57.30;387.75;3.88;1.08;398.05;3.98;1.11;9.15;0.09;0.03;112.48;1.12;0.31;35820.40;358.20;100.00;421.57;4.22;1.18;612.77;6.13;1.71;13296.22;132.96;37.12;20582.94;205.83;57.46;387.75;3.88;1.08;398.05;3.98;1.11;9.15;0.09;0.03;111.95;1.12;0.31;
Хаджидимово;32806.48;328.06;100.00;801.70;8.02;2.44;380.59;3.81;1.16;17719.90;177.20;54.01;12751.72;127.52;38.87;455.39;4.55;1.39;678.10;6.78;2.07;19.08;0.19;0.06;0.00;0.00;0.00;32806.48;328.06;100.00;805.19;8.05;2.45;380.53;3.81;1.16;17716.46;177.16;54.00;12751.72;127.52;38.87;455.39;4.55;1.39;678.10;6.78;2.07;19.08;0.19;0.06;0.00;0.00;0.00;32806.48;328.06;100.00;809.73;8.10;2.47;382.54;3.83;1.17;17710.12;177.10;53.98;12751.72;127.52;38.87;455.19;4.55;1.39;678.10;6.78;2.07;19.08;0.19;0.06;0.00;0.00;0.00;32806.48;328.06;100.00;871.85;8.72;2.66;382.35;3.82;1.17;17462.81;174.63;53.23;12937.09;129.37;39.43;455.19;4.55;1.39;678.10;6.78;2.07;19.08;0.19;0.06;-;-;0.00;
Якоруда;33961.63;339.62;100.00;364.62;3.65;1.07;396.71;3.97;1.17;6783.54;67.84;19.97;16938.82;169.39;49.88;120.95;1.21;0.36;9315.50;93.16;27.43;1.63;0.02;0.00;39.86;0.40;0.12;33961.63;339.62;100.00;367.55;3.68;1.08;396.77;3.97;1.17;6786.16;67.86;19.98;16936.43;169.36;49.87;121.48;1.21;0.36;9315.77;93.16;27.43;1.63;0.02;0.00;35.85;0.36;0.11;33961.63;339.62;100.00;367.95;3.68;1.08;402.90;4.03;1.19;6785.25;67.85;19.98;16932.99;169.33;49.86;121.47;1.21;0.36;9316.13;93.16;27.43;1.63;0.02;0.00;33.31;0.33;0.10;33961.61;339.62;100.00;369.39;3.69;1.09;403.31;4.03;1.19;6776.84;67.77;19.95;16926.72;169.27;49.84;134.63;1.35;0.40;9316.12;93.16;27.43;1.63;0.02;0.00;32.97;0.33;0.10;
Кюстендил;305888.43;3058.88;100.00;9836.94;98.37;3.22;6567.70;65.68;2.15;145425.17;1454.25;47.54;128579.67;1285.80;42.03;3303.15;33.03;1.08;9092.09;90.92;2.97;2057.87;20.58;0.67;1025.84;10.26;0.34;305888.42;3058.88;100.00;10257.59;102.58;3.35;6570.41;65.70;2.15;141442.93;1414.43;46.24;128035.97;1280.36;41.86;3301.43;33.01;1.08;13338.67;133.39;4.36;1923.27;19.23;0.63;1018.16;10.18;0.33;305888.42;3058.88;100.00;10327.80;103.28;3.38;6664.24;66.64;2.18;141261.49;1412.61;46.18;128033.51;1280.34;41.86;3331.71;33.32;1.09;13339.08;133.39;4.36;1920.35;19.20;0.63;1010.24;10.10;0.33;305888.39;3058.88;100.00;10483.88;104.84;3.43;6664.85;66.65;2.18;141037.94;1410.38;46.11;128073.03;1280.73;41.87;3350.54;33.51;1.10;13339.21;133.39;4.36;1936.27;19.36;0.63;1002.68;10.03;0.33;
Бобов дол;20655.45;206.55;100.00;1017.12;10.17;4.92;573.69;5.74;2.78;13049.13;130.49;63.18;5192.72;51.93;25.14;116.25;1.16;0.56;1.80;0.02;0.01;656.86;6.57;3.18;47.89;0.48;0.23;20655.45;206.55;100.00;1020.23;10.20;4.94;572.97;5.73;2.77;13046.91;130.47;63.16;5192.77;51.93;25.14;116.23;1.16;0.56;1.80;0.02;0.01;656.85;6.57;3.18;47.70;0.48;0.23;20655.45;206.55;100.00;997.44;9.97;4.83;596.56;5.97;2.89;13044.32;130.44;63.15;5192.77;51.93;25.14;118.02;1.18;0.57;1.80;0.02;0.01;656.85;6.57;3.18;47.70;0.48;0.23;20655.45;206.55;100.00;999.12;9.99;4.84;596.56;5.97;2.89;13031.06;130.31;63.09;5191.75;51.92;25.14;132.25;1.32;0.64;1.80;0.02;0.01;655.32;6.55;3.17;47.59;0.48;0.23;
Бобошево;13552.17;135.52;100.00;448.06;4.48;3.31;413.17;4.13;3.05;6844.88;68.45;50.51;5589.91;55.90;41.25;183.66;1.84;1.36;0.01;0.00;0.00;61.32;0.61;0.45;11.18;0.11;0.08;13552.17;135.52;100.00;446.71;4.47;3.30;413.17;4.13;3.05;6846.29;68.46;50.52;5589.91;55.90;41.25;183.66;1.84;1.36;0.01;0.00;0.00;61.32;0.61;0.45;11.11;0.11;0.08;13552.17;135.52;100.00;446.17;4.46;3.29;413.26;4.13;3.05;6846.74;68.47;50.52;5589.91;55.90;41.25;183.66;1.84;1.36;0.01;0.00;0.00;61.32;0.61;0.45;11.11;0.11;0.08;13552.17;135.52;100.00;455.11;4.55;3.36;413.24;4.13;3.05;6837.19;68.37;50.45;5590.32;55.90;41.25;183.87;1.84;1.36;0.01;0.00;0.00;61.32;0.61;0.45;11.11;0.11;0.08;
Дупница;32964.71;329.65;100.00;1923.06;19.23;5.83;1354.65;13.55;4.11;17335.65;173.36;52.59;6533.18;65.33;19.82;545.41;5.45;1.65;5014.57;50.15;15.21;238.53;2.39;0.72;19.65;0.20;0.06;32964.70;329.65;100.00;2198.19;21.98;6.67;1355.64;13.56;4.11;17190.73;171.91;52.15;6536.44;65.36;19.83;545.75;5.46;1.66;5015.24;50.15;15.21;103.94;1.04;0.32;18.78;0.19;0.06;32964.70;329.65;100.00;2202.10;22.02;6.68;1357.51;13.58;4.12;17186.09;171.86;52.13;6536.11;65.36;19.83;545.76;5.46;1.66;5015.25;50.15;15.21;103.94;1.04;0.32;17.95;0.18;0.05;32964.69;329.65;100.00;2238.44;22.38;6.79;1355.57;13.56;4.11;17114.85;171.15;51.92;6556.61;65.57;19.89;545.70;5.46;1.66;5015.24;50.15;15.21;121.39;1.21;0.37;16.88;0.17;0.05;
Кочериново;18246.66;182.47;100.00;733.87;7.34;4.02;461.69;4.62;2.53;8671.37;86.71;47.52;7955.28;79.55;43.60;222.55;2.23;1.22;8.16;0.08;0.04;81.90;0.82;0.45;111.83;1.12;0.61;18246.66;182.47;100.00;733.97;7.34;4.02;463.14;4.63;2.54;8670.51;86.71;47.52;7955.28;79.55;43.60;222.50;2.22;1.22;8.16;0.08;0.04;81.90;0.82;0.45;111.21;1.11;0.61;18246.66;182.47;100.00;744.00;7.44;4.08;454.60;4.55;2.49;8668.33;86.68;47.51;7955.28;79.55;43.60;224.90;2.25;1.23;8.16;0.08;0.04;81.90;0.82;0.45;109.48;1.09;0.60;18246.66;182.47;100.00;746.28;7.46;4.09;454.76;4.55;2.49;8655.49;86.55;47.44;7965.70;79.66;43.66;224.88;2.25;1.23;8.16;0.08;0.04;81.90;0.82;0.45;109.48;1.09;0.60;
Кюстендил;96229.89;962.30;100.00;3789.97;37.90;3.94;2365.00;23.65;2.46;45556.98;455.57;47.34;42344.67;423.45;44.00;1527.63;15.28;1.59;202.71;2.03;0.21;274.79;2.75;0.29;168.13;1.68;0.17;96229.89;962.30;100.00;3818.57;38.19;3.97;2369.92;23.70;2.46;44746.17;447.46;46.50;43124.90;431.25;44.81;1527.04;15.27;1.59;202.71;2.03;0.21;274.79;2.75;0.29;165.78;1.66;0.17;96229.89;962.30;100.00;3947.07;39.47;4.10;2389.44;23.89;2.48;44587.78;445.88;46.33;43124.75;431.25;44.81;1542.78;15.43;1.60;202.71;2.03;0.21;271.87;2.72;0.28;163.50;1.63;0.17;96229.89;962.30;100.00;4042.59;40.43;4.20;2390.01;23.90;2.48;44482.63;444.83;46.23;43132.78;431.33;44.82;1546.27;15.46;1.61;202.87;2.03;0.21;271.87;2.72;0.28;160.87;1.61;0.17;
Невестино;44019.99;440.20;100.00;721.15;7.21;1.64;646.76;6.47;1.47;18537.76;185.38;42.11;23260.68;232.61;52.84;343.78;3.44;0.78;89.18;0.89;0.20;64.86;0.65;0.15;355.81;3.56;0.81;44019.99;440.20;100.00;837.66;8.38;1.90;651.86;6.52;1.48;18238.17;182.38;41.43;23439.61;234.40;53.25;345.65;3.46;0.79;89.18;0.89;0.20;64.86;0.65;0.15;353.01;3.53;0.80;44019.99;440.20;100.00;847.54;8.48;1.93;654.37;6.54;1.49;18229.05;182.29;41.41;23438.30;234.38;53.24;345.72;3.46;0.79;89.18;0.89;0.20;64.86;0.65;0.15;350.97;3.51;0.80;44019.99;440.20;100.00;851.82;8.52;1.94;655.50;6.56;1.49;18215.11;182.15;41.38;23447.44;234.47;53.27;346.57;3.47;0.79;89.18;0.89;0.20;64.86;0.65;0.15;349.50;3.49;0.79;
Рила;36275.06;362.75;100.00;267.07;2.67;0.74;183.63;1.84;0.51;15719.21;157.19;43.33;16108.92;161.09;44.41;209.09;2.09;0.58;3775.13;37.75;10.41;7.59;0.08;0.02;4.42;0.04;0.01;36275.05;362.75;100.00;263.58;2.64;0.73;183.86;1.84;0.51;15722.69;157.23;43.34;16108.92;161.09;44.41;208.87;2.09;0.58;3775.14;37.75;10.41;7.59;0.08;0.02;4.40;0.04;0.01;36275.05;362.75;100.00;263.69;2.64;0.73;183.61;1.84;0.51;15720.96;157.21;43.34;16108.92;161.09;44.41;210.84;2.11;0.58;3775.15;37.75;10.41;7.59;0.08;0.02;4.29;0.04;0.01;36275.03;362.75;100.00;264.31;2.64;0.73;183.61;1.84;0.51;15720.38;157.20;43.34;16108.88;161.09;44.41;210.84;2.11;0.58;3775.13;37.75;10.41;7.59;0.08;0.02;4.29;0.04;0.01;
Сапарева баня;18097.68;180.98;100.00;645.50;6.45;3.57;336.07;3.36;1.86;7447.82;74.48;41.15;9535.58;95.36;52.69;102.89;1.03;0.57;0.02;0.00;0.00;29.80;0.30;0.16;0.00;0.00;0.00;18097.68;180.98;100.00;652.54;6.53;3.61;326.82;3.27;1.81;5545.38;55.45;30.64;7197.39;71.97;39.77;99.84;1.00;0.55;4245.91;42.46;23.46;29.80;0.30;0.16;0.00;0.00;0.00;18097.68;180.98;100.00;592.52;5.93;3.27;381.51;3.82;2.11;5542.46;55.42;30.63;7196.94;71.97;39.77;108.14;1.08;0.60;4246.32;42.46;23.46;29.80;0.30;0.16;0.00;0.00;0.00;18097.68;180.98;100.00;595.42;5.95;3.29;382.24;3.82;2.11;5543.71;55.44;30.63;7192.04;71.92;39.74;108.14;1.08;0.60;4246.32;42.46;23.46;29.80;0.30;0.16;-;-;0.00;
